#Source_name;Variability_index;ASSOC1;ASSOC2;ASSOC_TEV;CLASS1;Flags
3FGL J0106.5+4855;41.6703;LAT PSR J0106+4855;;;PSR;0
3FGL J0107.0-1208;32.6866;PMN J0107-1211;;;bcu;0
3FGL J0108.5-0035;43.2768;PKS 0105-008;;;fsrq;0
3FGL J0108.7+0134;575.571;4C +01.02;;;fsrq;0
3FGL J0109.1+1816;40.7299;MG1 J010908+1816;;;bll;0
3FGL J0109.8+6132;1263.09;TXS 0106+612;;;fsrq;0
3FGL J0109.9-4020;39.9066;RBS 0158;;;bll;0
3FGL J0110.2+6806;36.4777;4C +67.04;;;bll;0
3FGL J0110.9-1254;32.2309;1RXS J011050.0-125455;;;bll;0
3FGL J0111.5+0535;46.603;1RXS J011130.5+053612;;;bll;0
3FGL J0112.1+2245;489.069;S2 0109+22;;;BLL;0
3FGL J0112.8+3207;955.465;4C +31.03;;;fsrq;0
3FGL J0112.9-7506;39.586;;;;;0
3FGL J0113.0-3554;83.5869;PMN J0113-3551;;;fsrq;0
3FGL J0113.4+4948;47.5964;S4 0110+49;;;fsrq;0
3FGL J0114.8+1917;38.4403;;;;;0
3FGL J0114.8+1326;101.137;GB6 J0114+1325;;;bll;0
3FGL J0115.7+0356;55.2071;PMN J0115+0356;;;bll;0
3FGL J0115.8+2519;67.5338;RX J0115.7+2519;;;bll;0
3FGL J0116.0-1134;478.211;PKS 0113-118;;;fsrq;0
3FGL J0116.2-2744;40.3989;1RXS J011555.6-274428;;;bcu;0
3FGL J0116.3-6153;52.7526;SUMSS J011619-615343;;;bll;0
3FGL J0116.8+6913;50.6263;;;;;16
3FGL J0117.8-2113;71.9858;PKS 0115-214;;;fsrq;16
3FGL J0118.8-2142;294.542;PKS 0116-219;;;fsrq;0
3FGL J0118.9-1457;39.2722;1RXS J011905.4-145906;;;bll;0
3FGL J0120.4-2700;73.2967;PKS 0118-272;;;bll;0
3FGL J0121.7+5154;38.5581;NVSS J012133+515557;;;bcu;0
3FGL J0121.8-3917;37.096;;;;;0
3FGL J0122.8+3423;39.2785;1ES 0120+340;;;bll;0
3FGL J0123.7-2312;51.7241;1RXS J012338.2-231100;;;bll;0
3FGL J0125.2-0627;59.2271;PMN J0124-0624;;;bll;0
3FGL J0125.4-2548;78.2658;PKS 0122-260;;;bll;0
3FGL J0126.1-2227;109.063;PKS 0123-226;;;fsrq;0
3FGL J0127.1-0818;50.5422;PMN J0127-0821;;;bll;0
3FGL J0127.2+0325;49.5534;NVSS J012713+032259;;;bcu;0
3FGL J0127.4+5433;36.211;;;;;0
3FGL J0127.5+5634;53.8951;;;;;0
3FGL J0127.6+4851;66.9914;;;;;0
3FGL J0127.9+2551;52.4454;4C +25.05;;;fsrq;0
3FGL J0128.4+6257;42.5354;;;;spp;0
3FGL J0128.5+4430;89.3246;GB6 J0128+4439;;;fsrq;0
3FGL J0130.8+1441;45.4491;4C +14.06;;;fsrq;0
3FGL J0131.2+6120;88.1727;1RXS J013106.4+612035;;;bll;0
3FGL J0131.3+5548;44.8195;TXS 0128+554;;;bcu;0
3FGL J0132.1-5340;34.9;;;;;0
3FGL J0132.5-0802;32.9062;PKS 0130-083;;;bcu;0
3FGL J0132.6-1655;240.334;PKS 0130-17;;;fsrq;0
3FGL J0133.0-4413;48.6853;SUMSS J013306-441422;;;bll;0
3FGL J0133.2-4737;33.4282;;;;;0
3FGL J0133.2-5159;47.9471;PKS 0131-522;;;bcu;0
3FGL J0133.3+5930;42.5709;;;;;0
3FGL J0133.3+4324;52.4967;B3 0129+431;;;bcu;0
3FGL J0134.3-3842;61.1652;PMN J0134-3843;;;fsrq;0
3FGL J0134.5+2638;58.0117;1RXS J013427.2+263846;;;bcu;0
3FGL J0135.0+6927;36.7125;TXS 0130+691;;;bcu;8
3FGL J0136.5+3905;62.3014;B3 0133+388;;RGB J0136+391;bll;0
3FGL J0137.0+4752;857.034;OC 457;;;fsrq;0
3FGL J0137.6-2430;169.88;PKS 0135-247;;;fsrq;0
3FGL J0137.8+5813;47.3577;1RXS J013748.0+581422;;;bcu;0
3FGL J0138.5-4612;40.1808;;;;;0
3FGL J0139.9+8735;42.032;NVSS J013913+873754;;;bcu;0
3FGL J0141.4-0929;98.4823;PKS 0139-09;;;bll;0
3FGL J0143.7-5845;70.2092;SUMSS J014347-584550;;;bll;0
3FGL J0144.6+2705;170.7;TXS 0141+268;;;bll;0
3FGL J0145.1-2732;313.435;PKS 0142-278;;;fsrq;0
3FGL J0145.6+8600;34.7997;NVSS J014929+860114;;;bcu;0
3FGL J0146.4-6746;41.2595;SUMSS J014554-674646;;;bcu;0
3FGL J0147.0-5204;49.5674;PKS 0144-522;;;bcu;0
3FGL J0148.3+5200;60.1699;GB6 J0148+5202;;;bcu;0
3FGL J0148.6+0128;62.2899;PMN J0148+0129;;;bll;0
3FGL J0149.6+4846;35.7093;;;;;9
3FGL J0150.5-5447;43.9446;PMN J0150-5450;;;bcu;0
3FGL J0151.0-3609;33.8184;PMN J0151-3605;;;bcu;1
3FGL J0151.0+0537;39.784;PMN J0151+0540;;;bcu;0
3FGL J0151.6+2205;51.9621;PKS 0149+21;;;fsrq;0
3FGL J0152.2+3707;48.1863;B2 0149+37;;;bcu;0
3FGL J0152.6+0148;51.7581;PMN J0152+0146;;RGB J0152+017;bll;0
3FGL J0152.8+7517;49.3657;1RXS J015308.4+751756;;;bll;0
3FGL J0153.4+7114;36.6272;TXS 0149+710;;;bcu;0
3FGL J0154.0+0824;64.8323;GB6 J0154+0823;;;bll;0
3FGL J0154.1+4642;37.5396;;;;;0
3FGL J0154.9+4433;77.4619;GB6 J0154+4433;;;bll;0
3FGL J0156.3+3913;120.271;MG4 J015630+3913;;;bcu;0
3FGL J0156.5-2423;43.7677;;;;;0
3FGL J0156.9-4742;31.2052;2MASS J01564603-4744174;;;bcu;0
3FGL J0157.0-5301;62.6078;1RXS J015658.6-530208;;;bll;0
3FGL J0157.9-4615;75.2539;PMN J0157-4614;;;fsrq;0
3FGL J0158.6-3931;68.7272;PMN J0158-3932;;;bll;0
3FGL J0158.6+0102;44.216;;;;;0
3FGL J0159.4+1046;66.5132;RX J0159.5+1047;;;bll;0
3FGL J0159.8-2741;66.0001;PMN J0159-2739;;;bll;0
3FGL J0200.3-4108;46.819;;;;;0
3FGL J0200.9-6635;68.8881;PMN J0201-6638;;;bcu;0
3FGL J0202.3+0851;38.6663;TXS 0159+085;;;fsrq;0
3FGL J0202.5+4206;61.5164;B3 0159+418;;;bll;0
3FGL J0203.1-0227;47.2868;RX J0202.9-0223;;;bcu;0
3FGL J0203.6+1148;33.051;;;;;0
3FGL J0203.6+3043;974.216;NVSS J020344+304238;;;bll;0
3FGL J0204.0+7234;57.0106;S5 0159+723;;;bll;4
3FGL J0204.2+2420;37.5434;B2 0201+24;;;bcu;0
3FGL J0204.8+3212;72.4641;B2 0202+31;;;fsrq;0
3FGL J0205.0+1510;107.055;4C +15.05;;;bcu;0
3FGL J0205.2-1700;336.593;PKS 0202-17;;;fsrq;0
3FGL J0205.5+6448;37.4259;PSR J0205+6449;;3C 58;PSR;0
3FGL J0206.4-1150;262.441;PMN J0206-1150;;;fsrq;0
3FGL J0207.9-3846;54.3802;PKS 0205-391;;;bcu;0
3FGL J0208.0-6838;36.9131;PKS 0206-688;;;bll;0
3FGL J0208.6+3522;38.0835;MS 0205.7+3509;;;bll;0
3FGL J0209.4-5229;88.1114;1RXS J020922.2-522920;;;bll;0
3FGL J0209.5+4449;48.344;1RXS J020917.6+444951;;;bll;0
3FGL J0210.7-5101;1444.28;PKS 0208-512;;;BCU;0
3FGL J0211.0+1922;40.9962;;;;;0
3FGL J0211.2+1051;545.495;MG1 J021114+1051;;;BLL;0
3FGL J0211.2-0649;33.1066;NVSS J021116-064422;;;bcu;0
3FGL J0211.7+5402;41.1291;TXS 0207+538;;;bcu;16
3FGL J0212.1+5320;51.4705;;;;;0
3FGL J0212.8-3504;56.1363;RBS 0292;;;bll;0
3FGL J0213.0+2245;47.8592;MG3 J021252+2246;;;bll;0
3FGL J0213.1-2720;35.2847;PMN J0212-2719;;;bcu;0
3FGL J0214.4+5143;51.2859;TXS 0210+515;;;bll;512
3FGL J0214.7-5823;48.1617;PMN J0214-5822;;;bcu;0
3FGL J0216.0+0300;37.6005;;;;;0
3FGL J0216.1-7016;49.5216;PMN J0215-7014;;;bcu;0
3FGL J0216.4+0507;49.4601;;;;;0
3FGL J0216.6-1019;79.8869;PMN J0216-1017;;;bcu;0
3FGL J0217.0-6635;62.1908;RBS 0300;;;bll;0
3FGL J0217.1-0833;38.0602;PKS 0214-085;;;fsrq;0
3FGL J0217.2+0837;197.772;ZS 0214+083;;;bll;0
3FGL J0217.3+6209;37.6809;TXS 0213+619;;;bcu;16
3FGL J0217.5+7349;113.442;S5 0212+73;;;fsrq;0
3FGL J0217.8+0143;429.937;PKS 0215+015;;;fsrq;0
3FGL J0218.1+4233;45.3144;PSR J0218+4232;;;PSR;0
3FGL J0218.9+3642;217.56;MG3 J021846+3641;;;bcu;0
3FGL J0219.0+2440;50.4635;87GB 021610.9+243205;;;bcu;0
3FGL J0220.1+6202c;43.837;;;;spp;48
3FGL J0221.1+3556;408.001;B0218+357;;S3 0218+35;FSRQ;0
3FGL J0221.1+6059;46.5707;;;;;0
3FGL J0221.2+2518;38.0357;;;;;0
3FGL J0221.8+6138c;44.2051;;;;;48
3FGL J0222.1-1616;81.3463;PKS 0219-164;;;fsrq;0
3FGL J0222.6+4301;885.043;3C 66A;;3C 66A;BLL;0
3FGL J0222.9-1117;42.9913;1RXS J022314.6-111741;;;bll;0
3FGL J0223.3+6820;55.6064;NVSS J022304+682154;;;bcu;0
3FGL J0223.5+6313;51.0352;TXS 0219+628;;;bcu;1
3FGL J0223.6+6204;41.7721;;;;;0
3FGL J0223.6+3927;47.9381;;;;;0
3FGL J0224.0+6235;45.0082;;;;spp;16
3FGL J0224.1-7941;57.0587;PMN J0223-7940;;;bcu;0
3FGL J0224.1-1846;41.2967;;;;;0
3FGL J0224.4+1615;52.5525;;;;;0
3FGL J0225.2-2602;280.535;PMN J0225-2603;;;bcu;0
3FGL J0225.8+6159;46.6881;;;;;20
3FGL J0226.3+0941;95.9228;PMN J0226+0937;;;fsrq;0
3FGL J0226.5-4442;53.1525;RBS 0318;;;bcu;0
3FGL J0226.7-4747;38.049;;;;;0
3FGL J0227.2+0201;43.1493;RX J0227.2+0201;;;bll;0
3FGL J0228.0+2248;101.456;NVSS J022744+224834;;;bcu;0
3FGL J0228.3-5545;400.167;PKS 0226-559;;;fsrq;0
3FGL J0228.5+6703;42.2503;GB6 J0229+6706;;;bcu;8
3FGL J0228.5+8213;41.3926;;;;;8
3FGL J0228.7-3106;34.7732;PMN J0228-3102;;;bcu;0
3FGL J0229.3-3643;485.549;PKS 0227-369;;;fsrq;0
3FGL J0230.6-5757;36.029;PKS 0229-581;;;bll;0
3FGL J0230.8+4032;214.805;B3 0227+403;;;fsrq;0
3FGL J0231.0+1302;52.9318;;;;;0
3FGL J0232.6+0646;54.9324;;;;;1
3FGL J0232.8+2016;49.1631;1ES 0229+200;;1ES 0229+200;bll;0
3FGL J0232.9+2606;33.8813;B2 0230+25;;;bcu;0
3FGL J0233.0+6237;62.1798;;;;;0
3FGL J0234.2-0629;35.2506;;;;;0
3FGL J0235.7+5647;60.7941;;;;;12
3FGL J0236.7-6136;1370.2;PKS 0235-618;;;fsrq;0
3FGL J0237.5-3603;43.0657;RBS 0334;;;bll;0
3FGL J0237.9+2848;3653.46;4C +28.07;;;FSRQ;0
3FGL J0238.0+5237;36.5802;;;;;0
3FGL J0238.3-3904;47.0873;1RXS J023800.5-390505;;;bll;0
3FGL J0238.4-3117;47.4817;1RXS J023832.6-311658;;;bll;0
3FGL J0238.6+1636;5716.5;AO 0235+164;;;BLL;0
3FGL J0239.0+2555;26.9644;;;;;0
3FGL J0239.4+1326;51.0573;;;;;0
3FGL J0240.0-0253;64.6489;;;;;0
3FGL J0240.5+6113;344.328;LS I+61 303;;LS I +61 303;HMB;0
3FGL J0241.3+6542;33.4156;TXS 0237+655;;;bcu;0
3FGL J0242.1-0534;65.6669;;;;;256
3FGL J0242.3+1059;76.4647;OD 166;;;fsrq;0
3FGL J0242.7-0001;41.5078;NGC 1068;;;sbg;0
3FGL J0243.5+7119;61.723;S5 0238+711;;;bll;0
3FGL J0244.4-8224;52.2229;PMN J0251-8226;;;bcu;0
3FGL J0244.4+4745;34.6649;;;;;9
3FGL J0244.8-5818;55.3387;RBS 0351;;;bll;0
3FGL J0245.4+2410;124.339;B2 0242+23;;;fsrq;0
3FGL J0245.9-4651;737.273;PKS 0244-470;;;fsrq;0
3FGL J0248.4+5130;33.039;;;;;0
3FGL J0248.5+4232;40.2912;PSR J0248+42;;;psr;5
3FGL J0248.5+6022;66.555;PSR J0248+6021;;;PSR;0
3FGL J0249.1+8438;53.4006;NVSS J024948+843556;;;bcu;0
3FGL J0250.6+1713;48.4768;NVSS J025037+171209;;;fsrq;0
